"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-01","2011","01","01","","4.0","","0.0","","2.0","","16.0","","0.0","","9.2","","0.0","","9.2","","13","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-02","2011","01","02","","3.5","","-1.0","","1.3","","16.7","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-03","2011","01","03","","","M","-8.0","","","M","","M","","M","0.0","","0.0","","0.0","","10","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-04","2011","01","04","","-3.0","","-18.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-05","2011","01","05","","-4.0","","-14.5","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-06","2011","01","06","","","M","-15.0","","","M","","M","","M","0.0","","0.4","","0.4","","9","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-07","2011","01","07","","-5.0","","-13.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-08","2011","01","08","","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","3.0","","3.0","","9","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-09","2011","01","09","","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","12","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-10","2011","01","10","","","M","-9.0","","","M","","M","","M","0.0","","0.0","T","0.0","T","10","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-11","2011","01","11","","","M","-12.5","","","M","","M","","M","0.0","","0.0","T","0.0","T","10","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-12","2011","01","12","","-7.0","","-12.5","","-9.8","","27.8","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-13","2011","01","13","","","M","-9.5","","","M","","M","","M","0.0","","0.0","T","0.0","T","10","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-14","2011","01","14","","","M","-17.5","","","M","","M","","M","0.0","","0.0","","0.0","","10","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-15","2011","01","15","","-10.0","","-19.0","","-14.5","","32.5","","0.0","","0.0","","2.2","","2.2","","10","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-16","2011","01","16","","-10.0","","-21.0","","-15.5","","33.5","","0.0","","0.0","","1.0","","1.0","","12","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-17","2011","01","17","","","M","-23.0","","","M","","M","","M","0.0","","0.0","","0.0","","13","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-18","2011","01","18","","-5.0","","","M","","M","","M","","M","0.0","","3.6","","3.6","","13","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-19","2011","01","19","","-6.0","","-11.0","","-8.5","","26.5","","0.0","","0.0","","0.0","T","0.0","T","16","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-20","2011","01","20","","","M","-16.5","","","M","","M","","M","0.0","","1.0","","1.0","","16","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-21","2011","01","21","","","M","-16.5","","","M","","M","","M","0.0","","0.8","","0.8","","17","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-22","2011","01","22","","","M","-23.0","","","M","","M","","M","0.0","","0.0","T","0.0","T","18","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-23","2011","01","23","","","M","-27.0","","","M","","M","","M","0.0","","0.0","","0.0","","18","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-24","2011","01","24","","","M","-31.0","","","M","","M","","M","0.0","","1.2","","1.2","","18","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-25","2011","01","25","","-13.0","","-24.0","","-18.5","","36.5","","0.0","","0.0","","1.6","","1.6","","19","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-26","2011","01","26","","-6.5","","-24.0","","-15.3","","33.3","","0.0","","0.0","","","M","","M","21","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-27","2011","01","27","","-2.0","","-9.5","","-5.8","","23.8","","0.0","","0.0","","0.5","","0.5","","24","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-28","2011","01","28","","","M","-14.5","","","M","","M","","M","0.0","","1.0","","1.0","","22","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-29","2011","01","29","","","M","-11.5","","","M","","M","","M","0.0","","0.0","T","0.0","T","23","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-30","2011","01","30","","","M","-17.0","","","M","","M","","M","0.0","","0.0","","0.0","","22","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-01-31","2011","01","31","","","M","-26.0","","","M","","M","","M","0.0","","0.0","","0.0","","22","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-01","2011","02","01","","-9.5","","-23.5","","-16.5","","34.5","","0.0","","0.0","","","M","","M","22","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-02","2011","02","02","","-11.0","","-22.0","","-16.5","","34.5","","0.0","","0.0","","25.0","","25.0","","","M","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-03","2011","02","03","","","M","-23.5","","","M","","M","","M","0.0","","0.0","","0.0","","38","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-04","2011","02","04","","","M","-19.5","","","M","","M","","M","0.0","","0.0","","0.0","","32","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-05","2011","02","05","","1.0","E","-14.5","","-6.8","E","24.8","E","0.0","E","0.0","","0.0","T","0.0","T","30","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-06","2011","02","06","","2.0","","-5.0","","-1.5","","19.5","","0.0","","0.0","","2.0","","2.0","","28","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-07","2011","02","07","","-2.5","","-5.5","","-4.0","","22.0","","0.0","","0.0","","4.0","","4.0","","30","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-08","2011","02","08","","-10.5","","-14.0","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","32","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-09","2011","02","09","","-5.5","","-23.0","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-10","2011","02","10","","","M","-25.0","","","M","","M","","M","0.0","","0.6","","0.6","","32","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-11","2011","02","11","","-5.0","","-24.0","","-14.5","","32.5","","0.0","","0.0","","2.0","","2.0","","32","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-12","2011","02","12","","-2.0","","-16.5","","-9.3","","27.3","","0.0","","0.0","","0.8","","0.8","","34","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-13","2011","02","13","","-6.0","","-25.5","","-15.8","","33.8","","0.0","","0.0","","16.0","","16.0","","32","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-14","2011","02","14","","-3.0","","-9.5","","-6.3","","24.3","","0.0","","0.0","","5.6","","5.6","","48","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-15","2011","02","15","","","M","","M","","M","","M","","M","","M","","M","","M","46","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-16","2011","02","16","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-17","2011","02","17","","3.5","","","M","","M","","M","","M","7.2","","0.0","","7.2","","","M","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-18","2011","02","18","","8.5","","-0.5","","4.0","","14.0","","0.0","","0.0","","1.2","","1.2","","39","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-19","2011","02","19","","-7.0","","-11.5","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-20","2011","02","20","","-5.0","","-16.0","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-21","2011","02","21","","-10.0","","-19.5","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-22","2011","02","22","","-0.5","E","-18.0","E","-9.3","E","27.3","E","0.0","E","0.0","","0.0","","0.0","","36","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-23","2011","02","23","","","M","-16.0","","","M","","M","","M","0.0","","0.0","","0.0","","36","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-24","2011","02","24","","-3.0","","-23.5","","-13.3","","31.3","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-25","2011","02","25","","-2.0","","-16.0","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-26","2011","02","26","","","M","-19.5","","","M","","M","","M","0.0","","0.0","","0.0","","35","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-27","2011","02","27","","","M","-18.5","","","M","","M","","M","0.0","","2.2","","2.2","","35","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-02-28","2011","02","28","","-0.5","","-9.5","","-5.0","","23.0","","0.0","","0.0","","12.4","","12.4","","36","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-01","2011","03","01","","-3.0","","-13.0","","-8.0","","26.0","","0.0","","0.0","","3.0","","3.0","","48","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-02","2011","03","02","","-2.0","","-13.5","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","49","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-03","2011","03","03","","","M","-26.0","","","M","","M","","M","0.0","","0.0","","0.0","","48","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-04","2011","03","04","","","M","-27.0","","","M","","M","","M","0.0","","3.5","","3.5","","47","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-05","2011","03","05","","1.5","","-7.0","","-2.8","","20.8","","0.0","","10.7","","15.2","","25.9","","50","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-06","2011","03","06","","","M","-7.0","","","M","","M","","M","0.0","","2.6","","2.6","","60","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-07","2011","03","07","","-5.0","","-11.5","","-8.3","","26.3","","0.0","","0.0","","2.5","","2.5","","62","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-08","2011","03","08","","","M","-19.5","","","M","","M","","M","0.0","","0.0","","0.0","","61","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-09","2011","03","09","","-2.5","","-22.5","","-12.5","","30.5","","0.0","","0.0","","13.0","","13.0","","61","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-10","2011","03","10","","1.0","","","M","","M","","M","","M","18.0","","12.5","","30.5","","70","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-11","2011","03","11","","3.0","","0.0","","1.5","","16.5","","0.0","","7.8","","0.5","","8.3","","75","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-12","2011","03","12","","4.0","","0.0","","2.0","","16.0","","0.0","","","M","0.0","","","M","70","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-13","2011","03","13","","2.0","","0.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","63","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-14","2011","03","14","","","M","-8.0","","","M","","M","","M","0.0","","0.0","","0.0","","60","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-15","2011","03","15","","4.0","","-14.5","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-16","2011","03","16","","2.0","","-9.0","","-3.5","","21.5","","0.0","","0.0","","1.4","","1.4","","60","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-17","2011","03","17","","","M","-4.0","","","M","","M","","M","4.0","","0.0","","4.0","","62","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-18","2011","03","18","","8.5","","1.0","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-19","2011","03","19","","","M","-9.0","","","M","","M","","M","0.0","","0.0","","0.0","","53","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-20","2011","03","20","","","M","-14.0","","","M","","M","","M","0.0","","0.0","","0.0","","53","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-21","2011","03","21","","0.5","","-8.0","","-3.8","","21.8","","0.0","","0.0","","6.4","","6.4","","52","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-22","2011","03","22","","5.0","","-7.0","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.0","T","58","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-23","2011","03","23","","","M","-11.5","","","M","","M","","M","0.0","","0.0","","0.0","","57","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-24","2011","03","24","","","M","-12.5","","","M","","M","","M","0.0","","0.0","","0.0","","56","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-25","2011","03","25","","","M","-10.0","","","M","","M","","M","0.0","","0.0","T","0.0","T","55","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-26","2011","03","26","","-1.0","","-10.5","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-27","2011","03","27","","-1.0","","-14.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-28","2011","03","28","","2.0","","-8.0","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","54","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-29","2011","03","29","","4.5","","-4.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-30","2011","03","30","","","M","-5.0","","","M","","M","","M","0.0","","0.0","","0.0","","52","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2011-03-31","2011","03","31","","7.5","","-8.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
