"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-01","2010","01","01","","-3.5","","-7.0","","-5.3","","23.3","","0.0","","0.0","","5.8","","5.8","","38","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-02","2010","01","02","","-3.0","","-5.5","","-4.3","","22.3","","0.0","","0.0","","4.6","","4.6","","41","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-03","2010","01","03","","2.5","","-10.5","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","51","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-04","2010","01","04","","-2.0","","-8.5","","-5.3","","23.3","","0.0","","0.0","","1.8","","1.8","","49","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-05","2010","01","05","","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-06","2010","01","06","","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-07","2010","01","07","","-4.0","","-7.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-08","2010","01","08","","-6.0","","-10.0","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","45","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-09","2010","01","09","","-11.0","","-18.0","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-10","2010","01","10","","-10.5","","-20.0","","-15.3","","33.3","","0.0","","0.0","","0.4","","0.4","","44","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-11","2010","01","11","","-3.0","","-15.0","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","44","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-12","2010","01","12","","-9.0","","-13.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-13","2010","01","13","","-9.5","","-17.0","","-13.3","","31.3","","0.0","","0.0","","0.0","T","0.0","T","43","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-14","2010","01","14","","-5.0","","-12.0","","-8.5","","26.5","","0.0","","0.0","","0.4","","0.4","","42","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-15","2010","01","15","","2.0","","-10.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-16","2010","01","16","","3.5","","-2.0","","0.8","","17.2","","0.0","","0.0","","0.0","T","0.0","T","42","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-17","2010","01","17","","-6.0","","-10.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-18","2010","01","18","","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","0.6","","0.6","","41","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-19","2010","01","19","","-2.0","","-5.5","","-3.8","","21.8","","0.0","","0.0","","1.0","","1.0","","41","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-20","2010","01","20","","0.5","","-5.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-21","2010","01","21","","0.5","","-7.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-22","2010","01","22","","-1.0","","-15.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2010-01-23","2010","01","23","","-0.5","","-14.0","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
